0:0:0:0:0:0:0:1 - - [16/Nov/2024:12:08:17 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:25 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:25 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:25 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:25 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:25 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:28 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=P HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:28 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=P HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:28 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=Po HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:28 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=Pol HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:29 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=Po HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:29 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=P HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:29 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=P HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:29 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=PO HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [16/Nov/2024:15:25:29 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POL HTTP/1.1" 200 1355
