127.0.0.1 - - [27/Nov/2024:15:36:57 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:37:07 +0100] "GET /TW_Esame_2b/ HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:37:09 +0100] "GET /TW_Esame_2b/ HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:37:10 +0100] "GET /TW_Esame_2b/ HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:37:12 +0100] "GET /TW_Esame_2b/ HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:37:45 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:37:45 +0100] "GET /TW_Esame_StartingKit/images/wait.gif HTTP/1.1" 200 1849
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:37:45 +0100] "GET /TW_Esame_StartingKit/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:38:11 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:38:12 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:39:07 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:39:07 +0100] "GET /TW_Esame_StartingKit/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:46:43 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:46:43 +0100] "GET /TW_Esame_StartingKit/scripts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:46:43 +0100] "GET /TW_Esame_StartingKit/styles/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2024:15:46:43 +0100] "GET /TW_Esame_StartingKit/scripts/splitcontrollo.js HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:59:19 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:59:19 +0100] "GET /TW_Esame_StartingKit/styles/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:59:19 +0100] "GET /TW_Esame_StartingKit/scripts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:59:19 +0100] "GET /TW_Esame_StartingKit/scripts/splitcontrollo.js HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:59:27 +0100] "POST /TW_Esame_StartingKit/Servlet1 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:59:27 +0100] "POST /TW_Esame_StartingKit/Servlet4 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:59:27 +0100] "POST /TW_Esame_StartingKit/Servlet2 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [27/Nov/2024:17:59:27 +0100] "POST /TW_Esame_StartingKit/Servlet3 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:29 +0100] "POST /TW_Esame_StartingKit/Servlet1 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:29 +0100] "POST /TW_Esame_StartingKit/Servlet4 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Nov/2024:18:01:29 +0100] "POST /TW_Esame_StartingKit/Servlet2 HTTP/1.1" 200 5
