0:0:0:0:0:0:0:1 - - [15/Dec/2024:11:49:14 +0100] "GET /TW_Esame_File HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:11:49:15 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:11:49:15 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:11:49:23 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [15/Dec/2024:11:49:23 +0100] "GET /TW_Esame_File/scripts/split.js HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [15/Dec/2024:11:49:23 +0100] "GET /TW_Esame_File/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [15/Dec/2024:11:53:26 +0100] "GET /TW_Esame5/actions HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:16 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:25 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:50:06 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:50:06 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:50:12 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:50:12 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:50:12 +0100] "GET /TW_Esame_File/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:50:12 +0100] "GET /TW_Esame_File/scripts/split.js HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:51:18 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:51:18 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:52:40 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:52:40 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:52:40 +0100] "GET /TW_Esame_File/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:52:40 +0100] "GET /TW_Esame_File/scripts/split.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:55:27 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:55:27 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:55:43 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:55:43 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:55:43 +0100] "GET /TW_Esame_File/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:55:43 +0100] "GET /TW_Esame_File/scripts/split.js HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:56:53 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:56:53 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:56:58 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:56:58 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:56:58 +0100] "GET /TW_Esame_File/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:56:58 +0100] "GET /TW_Esame_File/scripts/split.js HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:58:13 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:58:13 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:58:18 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:58:18 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:58:18 +0100] "GET /TW_Esame_File/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:58:18 +0100] "GET /TW_Esame_File/scripts/split.js HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:59:16 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:59:16 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:13:59:22 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 656
