127.0.0.1 - - [18/Dec/2024:09:44:20 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:45:46 +0100] "GET /TW_Sovrac/ HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:45:46 +0100] "GET /TW_Sovrac/scripts/split.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:03 +0100] "GET /TW_Anagrammi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:03 +0100] "GET /TW_Anagrammi/ HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:03 +0100] "GET /TW_Anagrammi/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:03 +0100] "GET /TW_Anagrammi/scripts/split.js HTTP/1.1" 200 3517
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:03 +0100] "GET /TW_Anagrammi/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:07 +0100] "POST /TW_Anagrammi/servlet2 HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:07 +0100] "POST /TW_Anagrammi/servlet1 HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:15 +0100] "POST /TW_Anagrammi/servlet2 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:40 +0100] "GET /TW_Anagrammi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:40 +0100] "GET /TW_Anagrammi/ HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:45 +0100] "POST /TW_Anagrammi/servlet2 HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:45 +0100] "POST /TW_Anagrammi/servlet1 HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:47 +0100] "POST /TW_Anagrammi/servlet1 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:47 +0100] "POST /TW_Anagrammi/servlet1 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:46:47 +0100] "POST /TW_Anagrammi/servlet1 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:47:38 +0100] "GET /TW_Anagrammi/ HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:47:40 +0100] "POST /TW_Anagrammi/servlet1 HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [18/Dec/2024:09:47:40 +0100] "POST /TW_Anagrammi/servlet2 HTTP/1.1" 200 121
